Address,Attractions,Great_for_walker,Hotel_name,Price_max,Price_min,Price_range,Rank,Restaurant_nearby,Review,Review_number,Room_number,Travel_types,languages,number_images_Traveler,number_room_dining,number_room_suite
"29 Tran Quang Khai St., Hue Vietnam",18,95,Alba Spa Hotel,"₫1,636,364","₫772,727","₫772,727, - ,₫1,636,364",#26,122,Excellent,975 reviews,58,"Families,Couples,Solo,Business,Friends","All languages,English,French,Italian"," (,365,) ",39,102
"50A Hung Vuong Street, Hue 530000 Vietnam",6,94,Vinpearl Hotel Hue,"₫2,363,636","₫1,386,364","₫1,386,364, - ,₫2,363,636",#2,74,Excellent,482 reviews,213,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,French"," (,650,) ",16,34
"16/7 Nguyen Cong Tru, Hue 530000 Vietnam",25,92,Hue Riverside Villa,"₫1,136,364","₫704,545","₫704,545, - ,₫1,136,364",#1,124,Excellent,303 reviews,12,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,261,) ",17,28
"No. 24, Lane 42, Nguyen Cong Tru Street, Hue 530000 Vietnam",27,91,Hotel la Perle - Hue,"₫659,091","₫386,364","₫386,364, - ,₫659,091",#3,152,Excellent,"1,007 reviews",30,"Families,Couples,Solo,Business,Friends","All languages,English,German,French"," (,497,) ",75,139
"14/10 Ben Nghe, Hue 530000 Vietnam",25,93,Eva Homestay,"₫340,909","₫227,273","₫227,273, - ,₫340,909",#1,183,Excellent,117 reviews,6,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,19,) ",2,9
"57/5 Nguyen Cong Tru street, Hue 100000 Vietnam",25,91,Hue Serene Shining Hotel & Spa,"₫590,909","₫431,818","₫431,818, - ,₫590,909",#4,122,Excellent,"1,155 reviews",24,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,347,) ",44,72
"44 Nguyen Cong Tru, Hue Vietnam",25,91,Casablanca Hotel,"₫931,818","₫250,000","₫250,000, - ,₫931,818",#4,133,Excellent,380 reviews,11,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,57,) ",2,68
"77A Han Mac Tu, Hue 530000 Vietnam",7,84,Nam Phuong Riverside Villa,"₫250,000","₫227,273","₫227,273, - ,₫250,000",#1,46,Excellent,122 reviews,16,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,36,) ",1,19
"Phong Son, Phong Dien, Hue 530000 Vietnam",,,Alba Wellness Resort by Fusion,"₫3,250,000","₫2,431,818","₫2,431,818, - ,₫3,250,000",#5,,Excellent,189 reviews,Hue,"Families,Couples,Solo,Business,Friends","All languages,English,Vietnamese,Korean"," (,404,) ",40,55
"7/4 Chu Van An Street, Hue 530000 Vietnam",27,93,Minh Tam Guest House,"₫500,000","₫250,000","₫250,000, - ,₫500,000",#2,142,Excellent,178 reviews,7,"Families,Couples,Solo,Business,Friends","All languages,English,French,Spanish"," (,54,) ",3,7
"31A Tran Quang Khai, Hue 530000 Vietnam",15,95,To Vo Hostel,"₫431,818","₫386,364","₫386,364, - ,₫431,818",#3,113,Excellent,107 reviews,5,"Families,Couples,Solo,Business,Friends","All languages,Vietnamese,English,Spanish"," (,28,) ",1,2
"52, Alley 42, Nguyen Cong Tru Street, Hue Vietnam",27,92,IBIZA Hostel,"₫340,909","₫250,000","₫250,000, - ,₫340,909",#2,164,Excellent,206 reviews,5,"Families,Couples,Solo,Business,Friends","All languages,English,French,German"," (,31,) ",2,19
